brand_id	name	domain	missing_role	available_role	original_cohort
bumble	Bumble	bumble.com	icon	logo	empty
match-group	Match Group	mtch.com	logo	icon	icon
indeed	Indeed	indeed.com	logo	icon	icon
etsy	Etsy	etsy.com	logo	icon	icon
ebay	eBay	ebay.com	icon	logo	logo
shein	Shein	shein.com	icon	logo	empty
asos	ASOS	asos.com	icon	logo	empty
mango	Mango	mango.com	icon	logo	empty
kroger	Kroger	kroger.com	icon	logo	empty
publix	Publix	publix.com	logo	icon	icon
rei	REI	rei.com	logo	icon	icon
icelandair	Icelandair	icelandair.com	logo	icon	icon
qatar-airways	Qatar Airways	qatarairways.com	icon	logo	empty
etihad-airways	Etihad Airways	etihad.com	icon	logo	empty
blackstone	Blackstone	blackstone.com	icon	logo	empty
fidelity-national-information-services	FIS	fisglobal.com	icon	logo	logo
chevron	Chevron	chevron.com	icon	logo	empty
nextera-energy	NextEra Energy	nexteraenergy.com	icon	logo	logo
bhp	BHP	bhp.com	icon	logo	logo
america-movil	América Móvil	americamovil.com	icon	logo	empty
northrop-grumman	Northrop Grumman	northropgrumman.com	icon	logo	empty
rockwell-automation	Rockwell Automation	rockwellautomation.com	icon	logo	logo
vale	Vale	vale.com	logo	icon	icon
us-bancorp	U.S. Bancorp	usbank.com	icon	logo	empty
chubb	Chubb	chubb.com	icon	logo	logo
eaton	Eaton	eaton.com	icon	logo	empty
bt-group	BT Group	bt.com	logo	icon	icon
aig	AIG	aig.com	icon	logo	empty
marathon-petroleum	Marathon Petroleum	marathonpetroleum.com	logo	icon	icon
l3harris	L3Harris	l3harris.com	icon	logo	empty
parker-hannifin	Parker Hannifin	parker.com	logo	icon	icon
exelon	Exelon	exeloncorp.com	icon	logo	empty
anglo-american	Anglo American	angloamerican.com	logo	icon	icon
phillips-66	Phillips 66	phillips66.com	logo	icon	icon
proximus	Proximus	proximus.com	icon	logo	empty
dominion-energy	Dominion Energy	dominionenergy.com	icon	logo	empty
freeport-mcmoran	Freeport-McMoRan	fcx.com	icon	logo	empty
marsh-mclennan	Marsh	marsh.com	icon	logo	empty
ge-aerospace	GE Aerospace	geaerospace.com	icon	logo	empty
cummins	Cummins	cummins.com	logo	icon	empty
cardinal-health	Cardinal Health	cardinalhealth.com	icon	logo	empty
swisscom	Swisscom	swisscom.com	logo	icon	icon
aon	Aon	aon.com	logo	icon	icon
rolls-royce-holdings	Rolls-Royce	rolls-royce.com	logo	icon	icon
paccar	PACCAR	paccar.com	logo	icon	icon
eli-lilly	Eli Lilly	lilly.com	icon	logo	empty
p-g-e-corporation	PG&E Corporation	pgecorp.com	logo	icon	empty
newmont	Newmont	newmont.com	icon	logo	empty
s-p-global	S&P Global	spglobal.com	logo	icon	icon
arthur-j-gallagher	Arthur J. Gallagher	ajg.com	icon	logo	empty
bae-systems	BAE Systems	baesystems.com	logo	icon	icon
traton	TRATON	traton.com	icon	logo	empty
xcel-energy	Xcel Energy	xcelenergy.com	icon	logo	logo
barrick-mining	Barrick Mining	barrick.com	icon	logo	empty
moodys	Moody's	moodys.com	icon	logo	empty
volvo-group	Volvo Group	volvogroup.com	icon	logo	empty
telenor	Telenor	telenor.com	logo	icon	icon
sempra	Sempra	sempra.com	logo	icon	icon
agnico-eagle-mines	Agnico Eagle Mines	agnicoeagle.com	logo	icon	icon
cme-group	CME Group	cmegroup.com	logo	icon	empty
aia-group	AIA Group	aia.com	icon	logo	empty
daimler-truck	Daimler Truck	daimlertruck.com	logo	icon	icon
